2026-08-27 01:12:44 [INFO]: Loading Overrides...
2026-08-27 01:12:44 [INFO]: Loading World Types...
2026-08-27 14:33:34 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:33:40 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 14:35:23 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:36:12 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:36:39 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:41:31 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:42:34 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:46:06 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:47:49 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:52:22 [INFO]: baonam3321 executed: /betterrtp world WORLD
2026-08-27 14:59:30 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 15:04:44 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 15:46:15 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-27 16:07:17 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-27 16:11:57 [INFO]: yguy executed: /betterrtp world WORLD
2026-08-27 19:44:12 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 19:44:31 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 19:47:16 [INFO]: CONSOLE executed: /rtp player HydraMC_YTB WORLD_the_end
2026-08-27 19:48:15 [INFO]: CONSOLE executed: /rtp player HydraMC_YTB WORLD_the_end
2026-08-27 20:21:11 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 20:23:50 [INFO]: senfifai executed: /betterrtp world WORLD_nether
2026-08-27 20:28:24 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 20:31:24 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 20:31:48 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 20:49:28 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 20:51:00 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 20:57:51 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-27 21:04:38 [INFO]: huy504689 executed: /betterrtp world WORLD
2026-08-27 21:09:33 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-27 21:13:53 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-27 21:15:43 [INFO]: yguy executed: /betterrtp world WORLD_nether
2026-08-27 21:16:59 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-27 21:20:44 [INFO]: CONSOLE executed: /rtp player badluck_7th9 WORLD_nether
2026-08-27 21:23:00 [INFO]: badluck_7th9 executed: /betterrtp world WORLD
2026-08-27 21:42:07 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 21:48:38 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-27 21:52:55 [WARNING]: Seems like the world `surlob` does not have a `WorldType` declared. Please add/fix this in the config.yml file! This world will be treated as an overworld! If this world is a nether world, configure it to NETHER (example: `- surlob: NETHER`
2026-08-27 21:53:08 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-27 21:53:13 [INFO]: CelinDang executed: /betterrtp world WORLD
2026-08-27 21:53:33 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-27 21:54:33 [INFO]: huy504689 executed: /betterrtp world WORLD_nether
2026-08-27 21:55:55 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 21:58:31 [INFO]: XinDungBanNx executed: /betterrtp world WORLD
2026-08-27 22:04:28 [INFO]: CONSOLE executed: /rtp player huy504689 WORLD_nether
2026-08-27 22:25:22 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 22:28:07 [INFO]: senfifai executed: /betterrtp world WORLD
2026-08-27 22:32:02 [INFO]: ShentoSyney_VN executed: /betterrtp world WORLD
2026-08-27 22:32:02 [INFO]: tysooon executed: /betterrtp world WORLD
2026-08-27 22:32:11 [INFO]: ShentoSyney_VN executed: /betterrtp world WORLD
2026-08-27 22:32:14 [INFO]: tysooon executed: /betterrtp world WORLD
2026-08-27 23:00:28 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 23:11:01 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-28 03:34:03 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
